year,side_a,side_b,type_of_violence,best,deaths_civilians,latitude,longitude
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,0,43.318,45.6982
1994,Chechen Republic of Ichkeria,Provisional Council of the Chechen Republic,2,2,0,43.4432,45.7688
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.020253,45.893482
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,0,43.2223,46.249
1994,Chechen Republic of Ichkeria,Provisional Council of the Chechen Republic,2,4,0,43.1217,45.4801
1994,Chechen Republic of Ichkeria,Provisional Council of the Chechen Republic,2,7,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,4,0,42.9526,46.0671
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,0,43.3519,46.1035
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,25,0,43.1258,46.2469
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.3058,45.7477
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,0,43.163165,46.004114
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.177,45.8938
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.1228,45.7421
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.020253,45.893482
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,42.9705,46.0174
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,3,3,42.8625,45.756
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.2917,45.8724
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,118,0,43.296892,45.770809
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.322131,45.995
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,2,0,43.318,45.6982
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,1,0,42.9475,46.1905
2002,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,1,0,0,43.013081,46.107622
